method,n,z_effect_scale,zx_influence_scale,n_strata,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,abs_bias_crude_mean,abs_bias_stratified_mean
1A_predicted_prob,500,1.0,0.2,5,0.0013071414287515312,0.006291531762498985,0.0011486712891936432,0.0022513957268195405,0.9328587598904375,0.1421625729380537,0.02595521601038183,0.050872223380348386,0.03792131008289936,0.02212296979481708,0.00403908319854225,0.00791660306914281,0.09882366397689665,0.11447170041358112,0.020899577504163946,0.04096317190816133,0.03735035176282315,0.023255020432868097,0.0042457664221084695,0.0083217021873326,0.03624279910060676,0.02691250078501556,0.004913527919609504,0.009630514722434627,0.0011075526622163771,0.008007100835923616,0.0014618899160179456,0.0028653042353951733,0.029653071790311736,0.2877494842093266,0.05253562780397493,0.10296983049579086,0.03735035176282315,0.03624279910060676
1A_predicted_prob,500,1.0,0.2,10,0.0010422866039718431,0.006200406387505506,0.0011320341480452946,0.0022187869301687774,0.9934160910149862,0.022085475293043357,0.004032237670407622,0.00790318583399894,0.05357642702758917,0.019469156648153282,0.0035545654239317413,0.006966948230906213,0.11486495000151789,0.08284336475015619,0.015125059871096292,0.02964511734734873,0.02797702291029951,0.024163815410954463,0.004411688925323575,0.008646910293634208,0.029215909610887644,0.02326290372161448,0.0042472057071330435,0.008324523185980766,-0.0012388867005881168,0.008721969216160315,0.0015924064285188855,0.0031211165998970155,-0.044282292099494525,4.287423207510974,0.7827728014416377,1.53423469082561,0.02797702291029951,0.029215909610887644
1A_predicted_prob,500,1.0,0.5,3,0.009345154188845383,0.007936582519191123,0.0014490150917540522,0.002840069579837942,0.8495461269153515,0.22993942485440214,0.04198100328417337,0.0822827664369798,0.10861914498987067,0.053172228624735265,0.009707876350196466,0.019027437646385075,0.08171274158170456,0.08470799633277283,0.015465493464174855,0.030312367189782717,0.030196505904570365,0.01915884749136347,0.0034979109822736785,0.00685590552525641,0.030825724968751574,0.022784121840833015,0.0041597924950567905,0.00815319329031131,-0.0006292190641812024,0.011067962778527144,0.0020207242931422906,0.003960619614558889,-0.020837479215963572,1.8160414076956435,0.33156228145277994,0.6498620716474487,0.030196505904570365,0.030825724968751574
1A_predicted_prob,500,1.0,0.5,5,0.0054322146784005765,0.005802859119314596,0.0010594522792243888,0.002076526467279802,0.9438012319718995,0.12007923424557684,0.021923368428083092,0.04296980211904286,0.11693518757633638,0.04526610936669739,0.00826442306354535,0.016198269204548886,0.13961174585273126,0.14300858083616938,0.026109675213590325,0.05117496341863704,0.04691132802990393,0.037570516991363254,0.00685940655110026,0.01344443684015651,0.04618140279417463,0.03789365244074912,0.006918402742686329,0.013560069375665205,0.0007299252357292803,0.011476445002318127,0.002095302602579022,0.004106793101054883,0.015559679642068613,0.41959306636369015,0.07660686247338508,0.15014945044783476,0.04691132802990393,0.04618140279417463
1A_predicted_prob,500,1.0,0.5,10,0.004738843452942747,0.0065591063479715555,0.00119752350128645,0.002347146062521442,0.9649408470819342,0.09519701974026294,0.0173805183730022,0.03406581601108431,0.13933529561636235,0.047151146839087485,0.008608582245335542,0.01687282120085766,0.14329246983629254,0.13318257220396873,0.024315699687558066,0.047658771387613805,0.035148489997685405,0.02440570864284486,0.004455852385194975,0.00873347067498215,0.03282268663870328,0.022150272501316622,0.004044067967952498,0.007926373217186896,0.00232580335898211,0.011656039941879288,0.002128092002449497,0.004171060324801014,0.06617079024263295,8.298823085153439,1.5151508681610515,2.969695701595661,0.035148489997685405,0.03282268663870328
1A_predicted_prob,500,1.0,1.0,3,0.022124161705964006,0.008185675773652843,0.0014944930898844048,0.0029292064561734334,0.901409239530065,0.16540455667176202,0.030198602267755226,0.05918926044480024,0.26696687836341465,0.062209863415393064,0.011357915163975385,0.022261513721391755,0.08405608550576564,0.09704941657533567,0.017718718217009037,0.03472868770533771,0.03317092578000596,0.027094065676354105,0.004946676981821869,0.009695486884370863,0.029792985697941334,0.021828815692023627,0.003985378252714694,0.007811341375320801,0.0033779400820646206,0.01201183128277164,0.002193050316840081,0.004298378621006558,0.10183436255194012,1.1270661705094986,0.2057731884630054,0.4033154493874906,0.03317092578000596,0.029792985697941334
1A_predicted_prob,500,1.0,1.0,5,0.022938382037708576,0.010232380564052077,0.0018681685506362527,0.0036616103592470553,0.9410405948903189,0.1546306112590013,0.02823155795578911,0.05533385359334665,0.29194835835535476,0.07461691494694188,0.013623122495961487,0.026701320092084514,0.12161840329388159,0.14704074917481258,0.026845845065167996,0.05261785632772927,0.048160634221664576,0.030232746044100454,0.0055197189945596315,0.010818649229336877,0.04282421704658277,0.027346972932374418,0.004992851318181556,0.00978598858363585,0.005336417175081777,0.017511792208118406,0.0031972012049098844,0.0062665143616233735,0.11080454527488914,1.2566953230934081,0.22944012545650086,0.4497026458947417,0.048160634221664576,0.04282421704658277
1A_predicted_prob,500,1.0,1.0,10,0.018665350267406636,0.009381865905480218,0.0017128865293067155,0.0033572575974411623,0.9822337456654014,0.049180233625996606,0.008979041113444143,0.01759892058235052,0.32455118976524566,0.07819859775433012,0.014277045318439811,0.02798300882414203,0.12494675263393948,0.11209981493143421,0.020466532443366985,0.04011440358899929,0.03505313013686343,0.024570169269618303,0.004485878650230059,0.008792322154450914,0.03141014861881718,0.025508927618342725,0.004657271691444281,0.009128252515230792,0.0036429815180462374,0.016533570764336404,0.003018603221244993,0.005916462313640187,0.10392742399387422,2.1462223209987816,0.3918447928773754,0.7680157940396558,0.03505313013686343,0.03141014861881718
1A_predicted_prob,500,2.0,0.2,3,0.0010103104990325123,0.004473827804000938,0.000816805468881705,0.0016009387190081418,0.846913944682426,0.250475860149567,0.045730426238142385,0.08963163542675907,0.016425724330151,0.016067656009471108,0.0029335392142069224,0.005749736859845568,0.06653400901951508,0.07165034491559955,0.013081503387766487,0.025639746640022314,0.037709245052669,0.03102028759574618,0.005663503752162626,0.011100467354238747,0.03764918952798153,0.030374528612814627,0.005545604831608224,0.01086938546995212,6.0055524687461596e-05,0.0044473451080776685,0.0008119704122347966,0.0015914620079802014,0.00159259419284552,0.19923308420756347,0.03637481814060293,0.07129464355558174,0.037709245052669,0.03764918952798153
1A_predicted_prob,500,2.0,0.2,5,0.0011741283846256935,0.0057819828731326675,0.001055640815574431,0.0020690559985258846,0.9059485982973191,0.17161938068316218,0.031333268701744764,0.06141320665541974,0.02559471628910931,0.014569899464500656,0.0026600875324298166,0.0052137715635624405,0.09220107453547872,0.10719842423617096,0.01957166502771978,0.038360463454330765,0.037859474527350695,0.026912530671650826,0.004913533376137606,0.009630525417229707,0.03684129032496826,0.026407893476105174,0.004821399651018772,0.009449943315996794,0.0010181842023824367,0.006111760519261816,0.0011158497008230612,0.0021870654136132,0.026893775338769466,4.977576991358697,0.9087770666286186,1.7812030505920924,0.037859474527350695,0.03684129032496826
